,country,year,lat,lon,GID_1,GID_2,wealthpooled,households,urban_rural,water_index,sanitation_index,under5_mort,women_edu,women_bmi
0,angola,2011,-12.350257,13.534922,AGO.2,AGO.2.9,2.5956175327301,36,1,1.0,1.0,0.0,1.0279412,0.6267675
1,angola,2011,-12.360865,13.551494,AGO.2,AGO.2.9,2.20962047576904,32,1,1.0,0.90625,0.3181818,0.92052287,0.90828663
2,angola,2011,-12.613421,13.413085,AGO.2,AGO.2.3,0.906468868255615,36,1,1.0,0.5555556,0.0,0.5381669,0.6081002
3,angola,2011,-12.581454,13.397711,AGO.2,AGO.2.3,1.1053591966629,35,1,0.9714286,0.50714284,0.0,0.5296791,0.7573331
4,angola,2011,-12.578135,13.418748,AGO.2,AGO.2.3,1.87934386730194,37,1,1.0,0.7297297,0.0,0.83144796,0.6662406
5,angola,2011,-12.575305,13.408575,AGO.2,AGO.2.3,1.74931740760803,27,1,0.9907407,0.7685185,0.0,0.79318887,0.72508866
6,angola,2011,-11.188879,13.838995,AGO.7,AGO.7.11,0.182361423969269,33,1,0.18939394,0.34848484,0.13461539,0.31797385,0.40755618
7,angola,2011,-11.20005,13.832946,AGO.7,AGO.7.11,0.691215991973877,30,1,0.825,0.6333333,0.0,0.43823528,0.5119619
8,angola,2011,-8.593237,13.643248,AGO.1,AGO.1.2,0.527797996997833,36,1,0.027777778,0.4097222,0.17073171,0.4117647,0.38829523
9,angola,2011,-8.583901,13.664315,AGO.1,AGO.1.2,0.891160488128662,35,1,1.0,0.625,0.0,0.51283425,0.718623
10,angola,2011,-12.752814,15.742476,AGO.9,AGO.9.5,0.936776995658875,33,1,1.0,0.67424244,0.0,0.5247059,0.7306542
11,angola,2011,-12.782553,15.7543,AGO.9,AGO.9.5,-0.0526521876454353,34,1,0.75,0.6691176,0.0,0.38088235,0.56107795
12,angola,2011,-12.600115,13.200098,AGO.2,AGO.2.1,-0.073469914495945,36,0,0.7361111,0.0,0.26415095,0.32436976,0.3611462
13,angola,2011,-12.594752,13.202681,AGO.2,AGO.2.1,0.721672713756561,37,0,1.0,0.27027026,0.125,0.41642618,0.43823624
14,angola,2011,-12.426923,13.554357,AGO.2,AGO.2.9,-0.117268577218056,36,0,1.0,0.18055555,0.0,0.39080215,0.45501947
15,angola,2011,-12.426737,13.558511,AGO.2,AGO.2.9,0.381618529558182,37,0,1.0,0.44594595,0.28,0.44155195,0.55948037
16,angola,2011,-13.434386,14.269446,AGO.2,AGO.2.7,-1.14221024513245,37,0,0.0,0.0,0.35,0.13630831,0.47454724
17,angola,2011,-13.465144,14.278094,AGO.2,AGO.2.7,-0.85293048620224,37,0,0.4256757,0.0,0.16666667,0.21512605,0.4333563
18,angola,2011,-12.34475,14.773096,AGO.2,AGO.2.2,-0.463503241539001,37,1,0.4662162,0.04054054,0.114754096,0.26643598,0.38240057
19,angola,2011,-12.371371,14.753342,AGO.2,AGO.2.2,-1.05712330341339,37,0,0.08108108,0.006756757,0.14583333,0.15294118,0.45715618
20,angola,2011,-10.871302,14.353967,AGO.7,AGO.7.1,-1.06337440013885,37,0,0.0,0.0,0.5185185,0.28,0.48700052
21,angola,2011,-10.858034,14.35882,AGO.7,AGO.7.1,0.409533500671387,37,0,0.6891892,0.5202703,0.17948718,0.35389507,0.53850454
22,angola,2011,-10.419603,13.970724,AGO.7,AGO.7.7,-0.906610667705536,33,0,0.3181818,0.045454547,0.0,0.22171946,0.3742853
23,angola,2011,-10.390981,13.984454,AGO.7,AGO.7.7,-1.17829394340515,23,0,0.0,0.0,0.0,0.13529412,0.36773542
24,angola,2011,-11.537386,14.726956,AGO.7,AGO.7.10,-1.04396414756775,28,0,0.08035714,0.15178572,0.21875,0.27107844,0.37196332
25,angola,2011,-11.517536,14.75472,AGO.7,AGO.7.10,-1.1313544511795,26,0,0.028846154,0.0,0.0,0.10106952,0.3612561
26,angola,2011,-9.096796,13.6464,AGO.1,AGO.1.3,0.152510479092598,37,0,0.527027,0.08108108,0.14583333,0.25972852,0.4605169
27,angola,2011,-9.172912,13.648187,AGO.1,AGO.1.3,-0.813847541809082,33,0,0.030303031,0.1590909,0.0,0.3019608,0.39601246
28,angola,2011,-8.159112,14.469092,AGO.1,AGO.1.5,-0.430856823921204,37,0,0.7297297,0.35135135,0.0,0.20794117,0.55705833
29,angola,2011,-8.159944,14.460016,AGO.1,AGO.1.5,-0.249424755573273,37,0,0.6486486,0.27702704,0.2413793,0.31088236,0.44170332
30,angola,2011,-6.013011,14.173505,AGO.18,AGO.18.2,-0.837387084960938,36,0,0.0,0.36805555,0.21875,0.40324545,0.37116674
31,angola,2011,-5.869627,14.099057,AGO.18,AGO.18.2,-0.932220935821533,17,0,0.0,0.4117647,0.0,0.11764706,0.41545072
32,angola,2011,-5.872087,13.439567,AGO.18,AGO.18.4,-0.943604350090027,37,0,0.0,0.18243243,0.0,0.2509804,0.41423059
33,angola,2011,-5.897936,13.408697,AGO.18,AGO.18.4,-1.14929592609406,37,0,0.0,0.0472973,0.0,0.2617647,0.44323644
34,angola,2011,-12.106623,16.69557,AGO.3,AGO.3.7,-1.04850649833679,25,0,0.0,0.04,0.53846157,0.23208556,0.47467947
35,angola,2011,-12.186224,16.745167,AGO.3,AGO.3.7,-0.829582512378693,35,0,0.0,0.08571429,0.175,0.20862745,0.3726685
36,angola,2011,-11.383436,16.205631,AGO.3,AGO.3.1,-0.623327672481537,37,0,1.0,0.22297297,0.25454545,0.21021672,0.52939975
37,angola,2011,-11.342776,16.201752,AGO.3,AGO.3.1,-0.948899269104004,31,0,0.0,0.19354838,0.17073171,0.25315905,0.34561294
38,angola,2011,-12.216219,17.517328,AGO.3,AGO.3.2,-0.951153218746185,33,0,0.47727272,0.17424242,0.0,0.034937613,0.34557202
39,angola,2011,-12.170704,17.546886,AGO.3,AGO.3.2,-1.06607961654663,31,0,0.0,0.14516129,0.44680852,0.09882353,0.33281684
40,angola,2011,-12.13176,17.923544,AGO.3,AGO.3.6,-1.24290645122528,32,0,0.0,0.03125,0.21875,0.026203208,0.3414129
41,angola,2011,-13.913492,17.286135,AGO.3,AGO.3.5,-1.22812163829803,36,0,0.0,0.0069444445,0.0,0.032352943,0.25900945
42,angola,2011,-13.751458,17.183674,AGO.3,AGO.3.5,-1.16334104537964,34,0,0.0,0.036764707,0.19444445,0.13725491,0.39013004
43,angola,2011,-12.91732,15.720189,AGO.9,AGO.9.5,0.902192950248718,32,0,0.9453125,0.6015625,0.15555556,0.40558824,0.6724458
44,angola,2011,-12.747986,15.767361,AGO.9,AGO.9.5,0.209765985608101,30,0,0.775,0.56666666,0.0,0.392,0.67546636
45,angola,2011,-12.79096,15.743495,AGO.9,AGO.9.5,-0.164373964071274,26,0,0.5673077,0.5480769,0.0,0.32192513,0.56818557
46,angola,2011,-12.875445,15.760207,AGO.9,AGO.9.5,-0.212368860840797,35,0,0.6142857,0.55714285,0.2413793,0.29817444,0.4655319
47,angola,2011,-12.743259,15.761831,AGO.9,AGO.9.5,0.206417515873909,37,0,0.7567568,0.6013514,0.0,0.48235294,0.61714154
48,angola,2011,-12.772853,15.756213,AGO.9,AGO.9.5,0.29319104552269,34,0,0.6617647,0.61764705,0.35,0.2975332,0.46558908
49,angola,2011,-12.984558,15.943458,AGO.9,AGO.9.5,-0.0407793372869492,36,0,0.75,0.5277778,0.12962963,0.2712803,0.48869446
50,angola,2011,-12.73975,15.662196,AGO.9,AGO.9.5,-0.367856502532959,35,0,0.62142855,0.3642857,0.1521739,0.24191177,0.49723175
51,angola,2011,-12.537665,16.250486,AGO.9,AGO.9.3,-0.818283557891846,35,0,0.40714285,0.3642857,0.42424244,0.102231234,0.4443627
52,angola,2011,-12.565216,16.261759,AGO.9,AGO.9.3,-0.871328175067902,34,0,0.0,0.3970588,0.26415095,0.10626186,0.43722704
53,angola,2011,-13.43746,15.412271,AGO.9,AGO.9.2,-0.835232496261597,37,0,0.7297297,0.12162162,0.0,0.11573927,0.34918556
54,angola,2011,-13.530546,15.460572,AGO.9,AGO.9.2,-0.909515857696533,12,0,0.6875,0.020833334,0.875,0.22352941,0.4078642
55,angola,2011,-11.971578,16.488123,AGO.9,AGO.9.8,-0.80119651556015,36,0,0.0,0.4652778,0.4375,0.06405229,0.422834
56,angola,2011,-5.564471,12.20079,AGO.4,AGO.4.3,1.03297924995422,32,1,1.0,0.453125,0.0,0.61764705,0.49752152
