,Unnamed: 0,DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,n_sanitation,sanitation_index,under5_mort,n_under5_mort,women_edu,women_bmi,n_women_edu,n_women_bmi,cluster_id,adm1fips,adm1dhs,urban
0,1896,AO-2011-6#-00000001,AO,2011,-12.350257,13.534922,36.0,3.4733837665868053,36.0,1.0,36.0,1.0,0.0,28.0,0.7845918367346939,0.11450442337235799,56.0,,1,AO01,9,U
1,1897,AO-2011-6#-00000002,AO,2011,-12.360865,13.551494,32.0,2.9448536872896267,32.0,1.0,32.0,0.90625,0.10909090909090909,22.0,0.7026031746031745,0.11450442337235799,45.0,,2,AO01,9,U
2,1898,AO-2011-6#-00000003,AO,2011,-12.613421,13.413085,36.0,0.5422296800742565,36.0,1.0,36.0,0.5555555555555556,0.0,37.0,0.4107641196013289,0.11450442337235799,43.0,,3,AO01,9,U
3,1899,AO-2011-6#-00000004,AO,2011,-12.581454,13.397711,35.0,0.8707516021195612,35.0,0.9714285714285715,35.0,0.5071428571428571,0.0,36.0,0.4042857142857143,0.11450442337235799,44.0,,4,AO01,9,U
4,1900,AO-2011-6#-00000005,AO,2011,-12.578135,13.418748,37.0,2.143655132318691,37.0,1.0,37.0,0.7297297297297297,0.0,35.0,0.6346153846153848,0.11450442337235799,52.0,,5,AO01,9,U
5,1901,AO-2011-6#-00000006,AO,2011,-12.575305,13.408575,27.0,2.0725577290967543,27.0,0.9907407407407407,27.0,0.7685185185185186,0.0,30.0,0.6054135338345864,0.11450442337235799,38.0,,6,AO01,9,U
6,1902,AO-2011-6#-00000007,AO,2011,-11.188879,13.838995,33.0,-1.561989200989539,33.0,0.1893939393939394,33.0,0.3484848484848485,0.04615384615384618,52.0,0.24269841269841272,0.11450442337235799,36.0,,7,AO06,6,U
7,1903,AO-2011-6#-00000008,AO,2011,-11.20005,13.832946,30.0,0.2520633035008617,30.0,0.825,30.0,0.6333333333333333,0.0,34.0,0.33448979591836736,0.11450442337235799,28.0,,8,AO06,6,U
8,1904,AO-2011-6#-00000009,AO,2011,-8.593237,13.643248,36.0,-1.2425292854613474,36.0,0.02777777777777779,36.0,0.4097222222222222,0.058536585365853655,41.0,0.3142857142857143,0.11450442337235799,37.0,,9,AO19,18,U
9,1905,AO-2011-6#-00000010,AO,2011,-8.583901,13.664315,36.0,1.127706813742103,36.0,1.0,36.0,0.625,0.0,37.0,0.3914285714285715,0.11450442337235799,44.0,,10,AO19,18,U
10,1906,AO-2011-6#-00000011,AO,2011,-12.752814,15.742476,33.0,1.1721028581600694,33.0,1.0,33.0,0.6742424242424242,0.0,38.0,0.40048979591836736,0.11450442337235799,35.0,,11,AO08,10,U
11,1907,AO-2011-6#-00000012,AO,2011,-12.782553,15.7543,34.0,0.0706982531400037,34.0,0.75,34.0,0.6691176470588235,0.0,58.0,0.2907142857142857,0.11450442337235799,40.0,,12,AO08,10,U
12,1908,AO-2011-6#-00000013,AO,2011,-12.600115,13.200098,36.0,-2.052300133190287,36.0,0.7361111111111112,36.0,0.0,0.09056603773584904,53.0,0.24758017492711373,0.11450442337235799,49.0,,13,AO01,9,R
13,1909,AO-2011-6#-00000014,AO,2011,-12.594752,13.202681,37.0,-0.0979237992596908,37.0,1.0,37.0,0.2702702702702703,0.04285714285714286,56.0,0.31784366576819406,0.11450442337235799,53.0,,14,AO01,9,R
14,1910,AO-2011-6#-00000015,AO,2011,-12.426923,13.554357,36.0,-1.034001862059224,36.0,1.0,36.0,0.18055555555555558,0.0,39.0,0.29828571428571427,0.11450442337235799,55.0,,15,AO01,9,R
15,1911,AO-2011-6#-00000016,AO,2011,-12.426737,13.558511,37.0,-0.2119734077629566,37.0,1.0,37.0,0.44594594594594605,0.096,50.0,0.3370212765957447,0.11450442337235799,47.0,,16,AO01,9,R
16,1912,AO-2011-6#-00000017,AO,2011,-13.434386,14.269446,37.0,-3.7865151354554887,37.0,0.0,37.0,0.0,0.12,80.0,0.10403940886699507,0.11450442337235799,58.0,,17,AO01,9,R
17,1913,AO-2011-6#-00000018,AO,2011,-13.465144,14.278094,37.0,-3.0334116245029628,37.0,0.42567567567567555,37.0,0.0,0.057142857142857134,42.0,0.16419825072886296,0.11450442337235799,49.0,,18,AO01,9,R
