,country,year,lat,lon,GID_1,GID_2,wealthpooled,households,urban_rural,water_index,sanitation_index,under5_mort,women_edu,women_bmi
0,angola,2011,-12.350257,13.534922,AGO.2,AGO.2.9,2.5956175327301,36,1,1.0,1.0,0.0,1.0138744,0.7916865
1,angola,2011,-12.360865,13.551494,AGO.2,AGO.2.9,2.20962047576904,32,1,1.0,0.95197165,0.56407607,0.9594388,0.9530407
2,angola,2011,-12.613421,13.413085,AGO.2,AGO.2.3,0.906468868255615,36,1,1.0,0.745356,0.0,0.7335986,0.7798078
3,angola,2011,-12.581454,13.397711,AGO.2,AGO.2.3,1.1053591966629,35,1,0.9856108,0.7121396,0.0,0.7277906,0.87024885
4,angola,2011,-12.578135,13.418748,AGO.2,AGO.2.3,1.87934386730194,37,1,1.0,0.8542422,0.0,0.9118377,0.8162356
5,angola,2011,-12.575305,13.408575,AGO.2,AGO.2.3,1.74931740760803,27,1,0.9953596,0.8766519,0.0,0.8906115,0.8515214
6,angola,2011,-11.188879,13.838995,AGO.7,AGO.7.11,0.182361423969269,33,1,0.43519413,0.5903261,0.3668997,0.5638917,0.63840127
7,angola,2011,-11.20005,13.832946,AGO.7,AGO.7.11,0.691215991973877,30,1,0.9082951,0.79582244,0.0,0.66199344,0.71551514
8,angola,2011,-8.593237,13.643248,AGO.1,AGO.1.2,0.527797996997833,36,1,0.16666667,0.6400955,0.41319695,0.64168894,0.6231334
9,angola,2011,-8.583901,13.664315,AGO.1,AGO.1.2,0.891160488128662,35,1,1.0,0.7905694,0.0,0.7161245,0.84771633
10,angola,2011,-12.752814,15.742476,AGO.9,AGO.9.5,0.936776995658875,33,1,1.0,0.82112265,0.0,0.72436583,0.8547831
11,angola,2011,-12.782553,15.7543,AGO.9,AGO.9.5,-0.0526521876454353,34,1,0.8660254,0.8179961,0.0,0.6171567,0.7490514
12,angola,2011,-12.600115,13.200098,AGO.2,AGO.2.1,-0.073469914495945,36,0,0.85796916,0.0,0.5139562,0.56953466,0.6009544
13,angola,2011,-12.594752,13.202681,AGO.2,AGO.2.1,0.721672713756561,37,0,1.0,0.5198752,0.35355338,0.64531094,0.66199416
14,angola,2011,-12.426923,13.554357,AGO.2,AGO.2.9,-0.117268577218056,36,0,1.0,0.4249183,0.0,0.6251417,0.6745513
15,angola,2011,-12.426737,13.558511,AGO.2,AGO.2.9,0.381618529558182,37,0,1.0,0.66779184,0.52915025,0.66449374,0.74798423
16,angola,2011,-13.434386,14.269446,AGO.2,AGO.2.7,-1.14221024513245,37,0,0.0,0.0,0.591608,0.36919954,0.6888739
17,angola,2011,-13.465144,14.278094,AGO.2,AGO.2.7,-0.85293048620224,37,0,0.6524383,0.0,0.4082483,0.46381682,0.658298
18,angola,2011,-12.34475,14.773096,AGO.2,AGO.2.2,-0.463503241539001,37,1,0.6828003,0.20134681,0.33875373,0.5161744,0.61838543
19,angola,2011,-12.371371,14.753342,AGO.2,AGO.2.2,-1.05712330341339,37,0,0.2847474,0.08219949,0.3818813,0.39107695,0.6761333
20,angola,2011,-10.871302,14.353967,AGO.7,AGO.7.1,-1.06337440013885,37,0,0.0,0.0,0.7200823,0.52915025,0.6978542
21,angola,2011,-10.858034,14.35882,AGO.7,AGO.7.1,0.409533500671387,37,0,0.8301742,0.7212976,0.42365927,0.59489083,0.73382866
22,angola,2011,-10.419603,13.970724,AGO.7,AGO.7.7,-0.906610667705536,33,0,0.56407607,0.21320072,0.0,0.47087097,0.61178863
23,angola,2011,-10.390981,13.984454,AGO.7,AGO.7.7,-1.17829394340515,23,0,0.0,0.0,0.0,0.36782348,0.60641193
24,angola,2011,-11.537386,14.726956,AGO.7,AGO.7.10,-1.04396414756775,28,0,0.28347334,0.38959685,0.4677072,0.52065194,0.60988796
25,angola,2011,-11.517536,14.75472,AGO.7,AGO.7.10,-1.1313544511795,26,0,0.16984156,0.0,0.0,0.31791434,0.60104585
26,angola,2011,-9.096796,13.6464,AGO.1,AGO.1.3,0.152510479092598,37,0,0.7259663,0.2847474,0.3818813,0.5096357,0.67861396
27,angola,2011,-9.172912,13.648187,AGO.1,AGO.1.3,-0.813847541809082,33,0,0.17407766,0.398862,0.0,0.5495096,0.62929523
28,angola,2011,-8.159112,14.469092,AGO.1,AGO.1.5,-0.430856823921204,37,0,0.8542422,0.592749,0.0,0.45600566,0.7463634
29,angola,2011,-8.159944,14.460016,AGO.1,AGO.1.5,-0.249424755573273,37,0,0.80538726,0.5263336,0.49130368,0.55756825,0.66460764
30,angola,2011,-6.013011,14.173505,AGO.18,AGO.18.2,-0.837387084960938,36,0,0.0,0.6066758,0.4677072,0.6350161,0.6092346
31,angola,2011,-5.869627,14.099057,AGO.18,AGO.18.2,-0.932220935821533,17,0,0.0,0.64168894,0.0,0.34299716,0.6445547
32,angola,2011,-5.872087,13.439567,AGO.18,AGO.18.4,-0.943604350090027,37,0,0.0,0.4271211,0.0,0.5009794,0.6436075
33,angola,2011,-5.897936,13.408697,AGO.18,AGO.18.4,-1.14929592609406,37,0,0.0,0.21747942,0.0,0.51162946,0.66576004
34,angola,2011,-12.106623,16.69557,AGO.3,AGO.3.7,-1.04850649833679,25,0,0.0,0.2,0.7337994,0.48175257,0.68896985
35,angola,2011,-12.186224,16.745167,AGO.3,AGO.3.7,-0.829582512378693,35,0,0.0,0.29277003,0.41833,0.45675755,0.6104658
36,angola,2011,-11.383436,16.205631,AGO.3,AGO.3.1,-0.623327672481537,37,0,1.0,0.47220016,0.50452495,0.45849398,0.7275986
37,angola,2011,-11.342776,16.201752,AGO.3,AGO.3.1,-0.948899269104004,31,0,0.0,0.43994135,0.41319695,0.50314915,0.58788854
38,angola,2011,-12.216219,17.517328,AGO.3,AGO.3.2,-0.951153218746185,33,0,0.69084924,0.41742355,0.0,0.18691605,0.5878537
39,angola,2011,-12.170704,17.546886,AGO.3,AGO.3.2,-1.06607961654663,31,0,0.0,0.38100037,0.66843736,0.3143621,0.5769028
40,angola,2011,-12.13176,17.923544,AGO.3,AGO.3.6,-1.24290645122528,32,0,0.0,0.17677669,0.4677072,0.16187406,0.58430547
41,angola,2011,-13.913492,17.286135,AGO.3,AGO.3.5,-1.22812163829803,36,0,0.0,0.083333336,0.0,0.17986923,0.5089297
42,angola,2011,-13.751458,17.183674,AGO.3,AGO.3.5,-1.16334104537964,34,0,0.0,0.19174126,0.44095856,0.3704793,0.6246039
43,angola,2011,-12.91732,15.720189,AGO.9,AGO.9.5,0.902192950248718,32,0,0.9722718,0.7756046,0.39440534,0.6368581,0.8200279
44,angola,2011,-12.747986,15.767361,AGO.9,AGO.9.5,0.209765985608101,30,0,0.8803408,0.7527726,0.0,0.62609905,0.8218676
45,angola,2011,-12.79096,15.743495,AGO.9,AGO.9.5,-0.164373964071274,26,0,0.7531983,0.7403222,0.0,0.5673845,0.75378084
46,angola,2011,-12.875445,15.760207,AGO.9,AGO.9.5,-0.212368860840797,35,0,0.7837638,0.74642,0.49130368,0.5460535,0.68229896
47,angola,2011,-12.743259,15.761831,AGO.9,AGO.9.5,0.206417515873909,37,0,0.8699177,0.77546847,0.0,0.69451636,0.78558356
48,angola,2011,-12.772853,15.756213,AGO.9,AGO.9.5,0.29319104552269,34,0,0.8134892,0.78590524,0.591608,0.54546607,0.68234086
49,angola,2011,-12.984558,15.943458,AGO.9,AGO.9.5,-0.0407793372869492,36,0,0.8660254,0.72648317,0.36004114,0.5208458,0.6990669
50,angola,2011,-12.73975,15.662196,AGO.9,AGO.9.5,-0.367856502532959,35,0,0.78830737,0.60356086,0.39009473,0.49184528,0.7051466
51,angola,2011,-12.537665,16.250486,AGO.9,AGO.9.3,-0.818283557891846,35,0,0.63807744,0.60356086,0.65133893,0.31973618,0.66660535
52,angola,2011,-12.565216,16.261759,AGO.9,AGO.9.3,-0.871328175067902,34,0,0.0,0.63012606,0.5139562,0.3259783,0.66123146
53,angola,2011,-13.43746,15.412271,AGO.9,AGO.9.2,-0.835232496261597,37,0,0.8542422,0.34874293,0.0,0.34020475,0.59091926
54,angola,2011,-13.530546,15.460572,AGO.9,AGO.9.2,-0.909515857696533,12,0,0.8291562,0.14433756,0.9354144,0.47278896,0.6386425
55,angola,2011,-11.971578,16.488123,AGO.9,AGO.9.8,-0.80119651556015,36,0,0.0,0.68211275,0.6614378,0.25308555,0.6502569
56,angola,2011,-5.564471,12.20079,AGO.4,AGO.4.3,1.03297924995422,32,1,1.0,0.6731456,0.0,0.78590524,0.70535207
57,angola,2011,-5.57374,12.192002,AGO.4,AGO.4.3,1.30253994464874,31,1,0.9802742,0.84779125,0.0,0.7888107,0.8347431
58,angola,2011,-9.527211,16.338669,AGO.14,AGO.14.9,0.643735647201538,37,1,0.4271211,0.7578419,0.43792787,0.65101177,0.714432
59,angola,2011,-9.542977,16.318552,AGO.14,AGO.14.9,1.17173480987549,37,1,0.6926252,0.80957115,0.0,0.7645293,0.73170924
60,angola,2011,-9.692947,14.432255,AGO.6,AGO.6.5,0.945922434329987,37,1,0.9116365,0.8462956,0.41319695,0.669268,0.68756783
61,angola,2011,-9.68139,14.435284,AGO.6,AGO.6.5,0.211902379989624,36,1,0.4330127,0.61237246,0.0,0.57618165,0.6876706
62,angola,2011,-7.61528,15.052982,AGO.17,AGO.17.16,1.83545529842377,34,1,0.9892277,0.9296697,0.0,0.89536625,0.8582535
63,angola,2011,-7.619236,15.061034,AGO.17,AGO.17.16,1.37665677070618,37,1,0.99322027,0.8462956,0.0,0.89100075,0.82421404
64,angola,2011,-7.768684,15.252056,AGO.17,AGO.17.10,1.06142520904541,37,1,0.92634124,0.7443481,0.35675302,0.7414215,0.7228705
65,angola,2011,-7.774466,15.251551,AGO.17,AGO.17.10,0.656859934329987,37,1,0.88912344,0.7352146,0.0,0.7168559,0.7566097
66,angola,2011,-4.593331,12.862203,AGO.4,AGO.4.1,0.0344385989010334,34,0,0.0,0.7225364,0.0,0.591608,0.6532615
67,angola,2011,-4.465606,12.862364,AGO.4,AGO.4.1,-0.622969925403595,11,0,0.0,0.78334945,0.0,0.23431167,0.648329
68,angola,2011,-9.598896,21.581055,AGO.13,AGO.13.3,-1.2406439781189,36,0,0.0,0.14433756,0.0,0.24964203,0.50598955
69,angola,2011,-9.055912,21.48238,AGO.13,AGO.13.3,-1.21234536170959,24,0,0.0,0.0,0.0,0.10597144,0.45176685
70,angola,2011,-10.556164,22.039558,AGO.13,AGO.13.3,-1.12801134586334,37,0,0.0,0.18380365,0.0,0.34209335,0.55776525
