,DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,n_sanitation,sanitation_index,under5_mort,n_under5_mort,women_edu,women_bmi,n_women_edu,n_women_bmi,cluster_id,adm1fips,adm1dhs,urban
1896,AO-2011-6#-00000001,AO,2011,-12.350257,13.534922,36.0,3.4733837665868053,36.0,5.0,36.0,5.0,0.0,28.0,12.482142857142858,20.2525,56.0,,1,AO01,9,U
1897,AO-2011-6#-00000002,AO,2011,-12.360865,13.551494,32.0,2.9448536872896267,32.0,5.0,32.0,4.625,45.45454545454545,22.0,11.177777777777775,20.2525,45.0,,2,AO01,9,U
1898,AO-2011-6#-00000003,AO,2011,-12.613421,13.413085,36.0,0.5422296800742565,36.0,5.0,36.0,3.2222222222222223,0.0,37.0,6.534883720930233,20.2525,43.0,,3,AO01,9,U
1899,AO-2011-6#-00000004,AO,2011,-12.581454,13.397711,35.0,0.8707516021195612,35.0,4.885714285714286,35.0,3.0285714285714285,0.0,36.0,6.431818181818182,20.2525,44.0,,4,AO01,9,U
1900,AO-2011-6#-00000005,AO,2011,-12.578135,13.418748,37.0,2.143655132318691,37.0,5.0,37.0,3.918918918918919,0.0,35.0,10.096153846153848,20.2525,52.0,,5,AO01,9,U
1901,AO-2011-6#-00000006,AO,2011,-12.575305,13.408575,27.0,2.0725577290967543,27.0,4.962962962962963,27.0,4.074074074074074,0.0,30.0,9.63157894736842,20.2525,38.0,,6,AO01,9,U
1902,AO-2011-6#-00000007,AO,2011,-11.188879,13.838995,33.0,-1.561989200989539,33.0,1.7575757575757576,33.0,2.393939393939394,19.23076923076924,52.0,3.861111111111111,20.2525,36.0,,7,AO06,6,U
1903,AO-2011-6#-00000008,AO,2011,-11.20005,13.832946,30.0,0.2520633035008617,30.0,4.3,30.0,3.533333333333333,0.0,34.0,5.321428571428571,20.2525,28.0,,8,AO06,6,U
1904,AO-2011-6#-00000009,AO,2011,-8.593237,13.643248,36.0,-1.2425292854613474,36.0,1.1111111111111112,36.0,2.638888888888889,24.390243902439025,41.0,5.0,20.2525,37.0,,9,AO19,18,U
1905,AO-2011-6#-00000010,AO,2011,-8.583901,13.664315,36.0,1.127706813742103,36.0,5.0,36.0,3.5,0.0,37.0,6.227272727272728,20.2525,44.0,,10,AO19,18,U
1906,AO-2011-6#-00000011,AO,2011,-12.752814,15.742476,33.0,1.1721028581600694,33.0,5.0,33.0,3.696969696969697,0.0,38.0,6.371428571428571,20.2525,35.0,,11,AO08,10,U
1907,AO-2011-6#-00000012,AO,2011,-12.782553,15.7543,34.0,0.0706982531400037,34.0,4.0,34.0,3.676470588235294,0.0,58.0,4.625,20.2525,40.0,,12,AO08,10,U
1908,AO-2011-6#-00000013,AO,2011,-12.600115,13.200098,36.0,-2.052300133190287,36.0,3.9444444444444446,36.0,1.0,37.73584905660377,53.0,3.938775510204082,20.2525,49.0,,13,AO01,9,R
1909,AO-2011-6#-00000014,AO,2011,-12.594752,13.202681,37.0,-0.0979237992596908,37.0,5.0,37.0,2.081081081081081,17.857142857142858,56.0,5.056603773584905,20.2525,53.0,,14,AO01,9,R
1910,AO-2011-6#-00000015,AO,2011,-12.426923,13.554357,36.0,-1.034001862059224,36.0,5.0,36.0,1.7222222222222223,0.0,39.0,4.745454545454545,20.2525,55.0,,15,AO01,9,R
1911,AO-2011-6#-00000016,AO,2011,-12.426737,13.558511,37.0,-0.2119734077629566,37.0,5.0,37.0,2.783783783783784,40.0,50.0,5.361702127659575,20.2525,47.0,,16,AO01,9,R
1912,AO-2011-6#-00000017,AO,2011,-13.434386,14.269446,37.0,-3.7865151354554887,37.0,1.0,37.0,1.0,50.0,80.0,1.6551724137931034,20.2525,58.0,,17,AO01,9,R
1913,AO-2011-6#-00000018,AO,2011,-13.465144,14.278094,37.0,-3.0334116245029628,37.0,2.702702702702702,37.0,1.0,23.809523809523807,42.0,2.6122448979591835,20.2525,49.0,,18,AO01,9,R
1914,AO-2011-6#-00000019,AO,2011,-12.34475,14.773096,37.0,-2.5916908695212406,37.0,2.864864864864865,37.0,1.162162162162162,16.393442622950822,61.0,3.235294117647059,20.2525,51.0,,19,AO01,9,U
1915,AO-2011-6#-00000020,AO,2011,-12.371371,14.753342,37.0,-3.627566830890317,37.0,1.3243243243243243,37.0,1.027027027027027,20.83333333333333,48.0,1.8571428571428568,20.2525,49.0,,20,AO01,9,R
1916,AO-2011-6#-00000021,AO,2011,-10.871302,14.353967,37.0,-3.6961205971331927,37.0,1.0,37.0,1.0,74.07407407407408,27.0,3.4,20.2525,25.0,,21,AO06,6,R
1917,AO-2011-6#-00000022,AO,2011,-10.858034,14.35882,37.0,-0.1077397611617993,37.0,3.756756756756757,37.0,3.081081081081081,25.64102564102564,39.0,4.297297297297297,20.2525,37.0,,22,AO06,6,R
1918,AO-2011-6#-00000023,AO,2011,-10.419603,13.970724,33.0,-3.107286895921949,33.0,2.272727272727273,33.0,1.181818181818182,0.0,27.0,2.6923076923076925,20.2525,26.0,,23,AO06,6,R
1919,AO-2011-6#-00000024,AO,2011,-10.390981,13.984454,23.0,-3.7938997058228217,23.0,1.0,23.0,1.0,0.0,23.0,1.6428571428571428,20.2525,14.0,,24,AO06,6,R
1920,AO-2011-6#-00000025,AO,2011,-11.537386,14.726956,28.0,-3.2697817453162026,28.0,1.3214285714285714,28.0,1.6071428571428572,31.25,32.0,3.2916666666666665,20.2525,24.0,,25,AO06,6,R
1921,AO-2011-6#-00000026,AO,2011,-11.517536,14.75472,26.0,-3.7085321301398655,26.0,1.1153846153846154,26.0,1.0,0.0,24.0,1.2272727272727273,20.2525,22.0,,26,AO06,6,R
1922,AO-2011-6#-00000029,AO,2011,-9.096796,13.6464,37.0,-0.9889917366475314,37.0,3.108108108108108,37.0,1.3243243243243243,20.83333333333333,48.0,3.1538461538461537,20.2525,39.0,,29,AO19,18,R
1923,AO-2011-6#-00000030,AO,2011,-9.172912,13.648187,33.0,-3.0749513805014086,33.0,1.121212121212121,33.0,1.6363636363636365,0.0,35.0,3.6666666666666665,20.2525,24.0,,30,AO19,18,R
1924,AO-2011-6#-00000031,AO,2011,-8.159112,14.469092,37.0,-1.4230460354918122,37.0,3.918918918918919,37.0,2.4054054054054053,0.0,45.0,2.525,20.2525,40.0,,31,AO19,18,R
1925,AO-2011-6#-00000032,AO,2011,-8.159944,14.460016,37.0,-1.509702299413581,37.0,3.5945945945945947,37.0,2.108108108108108,34.48275862068965,58.0,3.775,20.2525,40.0,,32,AO19,18,R
1926,AO-2011-6#-00000033,AO,2011,-6.013011,14.173505,36.0,-2.735288488738408,36.0,1.0,36.0,2.4722222222222223,31.25,32.0,4.896551724137931,20.2525,29.0,,33,AO16,2,R
1927,AO-2011-6#-00000034,AO,2011,-5.869627,14.099057,17.0,-2.773722101257963,17.0,1.0,17.0,2.647058823529412,0.0,10.0,1.4285714285714286,20.2525,7.0,,34,AO16,2,R
1928,AO-2011-6#-00000035,AO,2011,-5.872087,13.439567,37.0,-3.2004583462047864,37.0,1.0,37.0,1.7297297297297298,0.0,25.0,3.0476190476190474,20.2525,21.0,,35,AO16,2,R
1929,AO-2011-6#-00000036,AO,2011,-5.897936,13.408697,37.0,-3.582581434840626,37.0,1.0,37.0,1.1891891891891893,0.0,42.0,3.1785714285714284,20.2525,28.0,,36,AO16,2,R
1930,AO-2011-6#-00000037,AO,2011,-12.106623,16.69557,25.0,-3.5990828766775493,25.0,1.0,25.0,1.16,76.92307692307693,26.0,2.8181818181818183,20.2525,22.0,,37,AO02,11,R
1931,AO-2011-6#-00000038,AO,2011,-12.186224,16.745167,35.0,-3.332527764815063,35.0,1.0,35.0,1.3428571428571427,25.0,40.0,2.533333333333333,20.2525,30.0,,38,AO02,11,R
1932,AO-2011-6#-00000039,AO,2011,-11.383436,16.205631,37.0,-1.3518181201407051,37.0,5.0,37.0,1.891891891891892,36.36363636363636,55.0,2.5526315789473686,20.2525,38.0,,39,AO02,11,R
1933,AO-2011-6#-00000040,AO,2011,-11.342776,16.201752,31.0,-3.129207568397949,31.0,1.0,31.0,1.7741935483870968,24.390243902439025,41.0,3.074074074074074,20.2525,27.0,,40,AO02,11,R
1934,AO-2011-6#-00000041,AO,2011,-12.216219,17.517328,33.0,-2.558649065686585,33.0,2.909090909090909,33.0,1.696969696969697,0.0,35.0,0.4242424242424242,20.2525,33.0,,41,AO02,11,R
1935,AO-2011-6#-00000042,AO,2011,-12.170704,17.546886,31.0,-3.399043019992417,31.0,1.0,31.0,1.5806451612903225,63.82978723404255,47.0,1.2,20.2525,30.0,,42,AO02,11,R
