Country,percentage
Angola,33
Benin,52
Botswana,29
Burkina Faso,69
Burundi,86
Cabo Verde,33
Cameroon,42
Central African Republic,58
Chad,76
Comoros,71
"Congo, Dem. Rep.",54
"Congo, Rep.",32
Cote d'Ivoire,48
Equatorial Guinea,27
Eritrea,64
Eswatini,76
Ethiopia,78
Gabon,10
"Gambia, The",37
Ghana,43
Guinea,63
Guinea-Bissau,56
Kenya,72
Lesotho,71
Liberia,48
Madagascar,61
Malawi,83
Mali,56
Mauritania,45
Mauritius,59
Mozambique,63
Namibia,48
Niger,83
Nigeria,48
Rwanda,83
Sao Tome and Principe,26
Senegal,52
Seychelles,42
Sierra Leone,57
Somalia,54
South Africa,33
South Sudan,80
Sudan,65
Tanzania,65
Togo,57
Uganda,75
Zambia,55
Zimbabwe,68
